X,Y,track_fid,track_seg_id,track_seg_point_id,ele,time,magvar,geoidheight,name,cmt,desc,src,link1_href,link1_text,link1_type,link2_href,link2_text,link2_type,sym,type,fix,sat,hdop,vdop,pdop,ageofdgpsdata,dgpsid
1.2536603,52.1498268,0,0,441,55,2020/12/30 13:27:28+00,,,,speed: 0.3,,,,,,,,,,,,,,,,,
1.2537713,52.1498471,0,0,442,56,2020/12/30 13:27:32+00,74,,,speed: 2.3,,,,,,,,,,,,,,,,,
1.2538933,52.1498665,0,0,443,56,2020/12/30 13:27:36+00,76,,,speed: 2.0,,,,,,,,,,,,,,,,,
1.2539311,52.1498613,0,0,444,57,2020/12/30 13:27:40+00,,,,speed: 0.0,,,,,,,,,,,,,,,,,
1.2539688,52.1498816,0,0,445,55,2020/12/30 13:27:44+00,75,,,speed: 1.6,,,,,,,,,,,,,,,,,
1.2540746,52.1499128,0,0,446,54,2020/12/30 13:27:48+00,69,,,speed: 2.1,,,,,,,,,,,,,,,,,
1.2541891,52.1499363,0,0,447,55,2020/12/30 13:27:52+00,69,,,speed: 2.2,,,,,,,,,,,,,,,,,
1.2542468,52.1499424,0,0,448,54,2020/12/30 13:27:56+00,,,,speed: 0.0,,,,,,,,,,,,,,,,,
1.254308,52.1499536,0,0,449,54,2020/12/30 13:28:00+00,88,,,speed: 1.8,,,,,,,,,,,,,,,,,
1.2543843,52.1499575,0,0,450,54,2020/12/30 13:28:05+00,,,,speed: 0.2,,,,,,,,,,,,,,,,,
1.254428,52.1499668,0,0,451,53,2020/12/30 13:28:08+00,83,,,speed: 1.4,,,,,,,,,,,,,,,,,
1.2545335,52.149989,0,0,452,53,2020/12/30 13:28:12+00,74,,,speed: 2.0,,,,,,,,,,,,,,,,,
1.2546366,52.1500201,0,0,453,51,2020/12/30 13:28:16+00,70,,,speed: 2.0,,,,,,,,,,,,,,,,,
1.2547281,52.1500415,0,0,454,50,2020/12/30 13:28:20+00,,,,speed: 0.9,,,,,,,,,,,,,,,,,
1.2547818,52.1500488,0,0,455,50,2020/12/30 13:28:25+00,69,,,speed: 1.9,,,,,,,,,,,,,,,,,
1.2548798,52.1500593,0,0,456,50,2020/12/30 13:28:28+00,71,,,speed: 2.1,,,,,,,,,,,,,,,,,
1.2548973,52.1500613,0,0,457,51,2020/12/30 13:28:33+00,,,,speed: 0.0,,,,,,,,,,,,,,,,,
1.2548955,52.150064,0,0,458,51,2020/12/30 13:28:36+00,,,,speed: 0.0,,,,,,,,,,,,,,,,,
1.2549299,52.1500565,0,0,459,52,2020/12/30 13:28:41+00,,,,speed: 1.5,,,,,,,,,,,,,,,,,
1.2551604,52.1500918,0,0,460,50,2020/12/30 13:28:45+00,109,,,speed: 4.3,,,,,,,,,,,,,,,,,
1.2553846,52.1501386,0,0,461,49,2020/12/30 13:28:49+00,82,,,speed: 3.2,,,,,,,,,,,,,,,,,
1.2554923,52.1501501,0,0,462,49,2020/12/30 13:28:52+00,76,,,speed: 2.0,,,,,,,,,,,,,,,,,
1.2555988,52.1501759,0,0,463,50,2020/12/30 13:28:56+00,69,,,speed: 2.1,,,,,,,,,,,,,,,,,
1.2557271,52.1501836,0,0,464,52,2020/12/30 13:29:00+00,74,,,speed: 2.5,,,,,,,,,,,,,,,,,
1.2558563,52.1501846,0,0,465,52,2020/12/30 13:29:05+00,,,,speed: 0.2,,,,,,,,,,,,,,,,,
1.2558606,52.1501784,0,0,466,53,2020/12/30 13:29:08+00,,,,speed: 0.0,,,,,,,,,,,,,,,,,
1.2558868,52.1501781,0,0,467,53,2020/12/30 13:29:12+00,93,,,speed: 1.4,,,,,,,,,,,,,,,,,
1.2559251,52.1501874,0,0,468,50,2020/12/30 13:29:17+00,,,,speed: 0.0,,,,,,,,,,,,,,,,,
1.2559168,52.1501843,0,0,469,50,2020/12/30 13:29:20+00,,,,speed: 0.0,,,,,,,,,,,,,,,,,
1.2559343,52.1501451,0,0,470,50,2020/12/30 13:29:24+00,97,,,speed: 1.1,,,,,,,,,,,,,,,,,
1.2559813,52.1500648,0,0,471,52,2020/12/30 13:29:28+00,145,,,speed: 1.8,,,,,,,,,,,,,,,,,
1.2560253,52.1500078,0,0,472,53,2020/12/30 13:29:32+00,152,,,speed: 1.2,,,,,,,,,,,,,,,,,
1.2560535,52.1500111,0,0,473,52,2020/12/30 13:29:36+00,,,,speed: 0.0,,,,,,,,,,,,,,,,,
1.2560713,52.1499968,0,0,474,52,2020/12/30 13:29:40+00,,,,speed: 0.6,,,,,,,,,,,,,,,,,
1.256089,52.1500028,0,0,475,52,2020/12/30 13:29:44+00,110,,,speed: 1.0,,,,,,,,,,,,,,,,,
1.2561368,52.1500231,0,0,476,53,2020/12/30 13:29:49+00,74,,,speed: 1.4,,,,,,,,,,,,,,,,,
1.2562199,52.1500108,0,0,477,51,2020/12/30 13:29:52+00,81,,,speed: 1.3,,,,,,,,,,,,,,,,,
1.2563435,52.1500306,0,0,478,51,2020/12/30 13:29:56+00,69,,,speed: 1.9,,,,,,,,,,,,,,,,,
1.256495,52.1500413,0,0,479,51,2020/12/30 13:30:01+00,70,,,speed: 1.7,,,,,,,,,,,,,,,,,
1.2565288,52.1500401,0,0,480,50,2020/12/30 13:30:04+00,,,,speed: 0.2,,,,,,,,,,,,,,,,,
1.2565626,52.1500273,0,0,481,52,2020/12/30 13:30:09+00,,,,speed: 0.5,,,,,,,,,,,,,,,,,
1.2566291,52.1500543,0,0,482,52,2020/12/30 13:30:12+00,76,,,speed: 2.0,,,,,,,,,,,,,,,,,
1.2567375,52.1500686,0,0,483,51,2020/12/30 13:30:16+00,73,,,speed: 1.7,,,,,,,,,,,,,,,,,
1.256843,52.1500891,0,0,484,50,2020/12/30 13:30:20+00,72,,,speed: 1.9,,,,,,,,,,,,,,,,,
1.2569283,52.1500986,0,0,485,50,2020/12/30 13:30:24+00,,,,speed: 0.9,,,,,,,,,,,,,,,,,
1.2570581,52.1501194,0,0,486,51,2020/12/30 13:30:29+00,71,,,speed: 2.1,,,,,,,,,,,,,,,,,
1.2571718,52.1501296,0,0,487,51,2020/12/30 13:30:32+00,78,,,speed: 2.3,,,,,,,,,,,,,,,,,
1.257317,52.1501303,0,0,488,51,2020/12/30 13:30:36+00,85,,,speed: 2.3,,,,,,,,,,,,,,,,,
1.257487,52.150133,0,0,489,51,2020/12/30 13:30:41+00,88,,,speed: 2.2,,,,,,,,,,,,,,,,,
1.2576076,52.1501476,0,0,490,51,2020/12/30 13:30:45+00,80,,,speed: 1.5,,,,,,,,,,,,,,,,,
1.257685,52.1501401,0,0,491,51,2020/12/30 13:30:48+00,88,,,speed: 1.5,,,,,,,,,,,,,,,,,
1.2577376,52.150135,0,0,492,51,2020/12/30 13:30:52+00,,,,speed: 0.7,,,,,,,,,,,,,,,,,
1.2578211,52.150127,0,0,493,51,2020/12/30 13:30:57+00,,,,speed: 0.5,,,,,,,,,,,,,,,,,
1.2578235,52.1501191,0,0,494,51,2020/12/30 13:31:00+00,,,,speed: 0.1,,,,,,,,,,,,,,,,,
1.2578456,52.1501045,0,0,495,52,2020/12/30 13:31:04+00,,,,speed: 0.5,,,,,,,,,,,,,,,,,
1.2578788,52.1501001,0,0,496,52,2020/12/30 13:31:09+00,121,,,speed: 1.3,,,,,,,,,,,,,,,,,
1.2579573,52.1500988,0,0,497,52,2020/12/30 13:31:12+00,105,,,speed: 1.8,,,,,,,,,,,,,,,,,
1.2580646,52.1500943,0,0,498,51,2020/12/30 13:31:16+00,97,,,speed: 1.8,,,,,,,,,,,,,,,,,
1.258199,52.1500925,0,0,499,51,2020/12/30 13:31:21+00,91,,,speed: 1.9,,,,,,,,,,,,,,,,,
1.2582936,52.1500804,0,0,500,51,2020/12/30 13:31:24+00,95,,,speed: 2.0,,,,,,,,,,,,,,,,,
1.2583801,52.1500618,0,0,501,51,2020/12/30 13:31:29+00,,,,speed: 0.7,,,,,,,,,,,,,,,,,
1.2584566,52.1500683,0,0,502,51,2020/12/30 13:31:32+00,92,,,speed: 1.6,,,,,,,,,,,,,,,,,
1.2585505,52.1500666,0,0,503,51,2020/12/30 13:31:36+00,90,,,speed: 1.2,,,,,,,,,,,,,,,,,
1.2585861,52.1500428,0,0,504,52,2020/12/30 13:31:40+00,,,,speed: 0.0,,,,,,,,,,,,,,,,,
